Team_orig,G,Attendance,Avg,Team
Air Force,13,15625,1202,Air Force
Akron,14,48220,3444,Akron
Alabama,14,115595,8257,Alabama
Alabama A&M,13,23297,1792,Alabama A&M
Alabama St.,14,33462,2390,Alabama St.
Albany (N.Y.),11,14190,1290,Albany (NY)
Alcorn St.,11,40032,3639,Alcorn
American,13,37720,2902,American
Appalachian St.,12,42834,3570,Appalachian St.
Arizona,17,246237,14485,Arizona
Arizona St.,17,152570,8975,Arizona St.
Ark.-Little Rock,14,70028,5002,Little Rock
Ark.-Pine Bluff,11,17096,1554,Ark.-Pine Bluff
Arkansas,14,249300,17807,Arkansas
Arkansas St.,12,64147,5346,Arkansas St.
Army,13,10581,814,Army West Point
Auburn,15,157500,10500,Auburn
Austin Peay,13,37628,2894,Austin Peay
Ball St.,14,78211,5587,Ball St.
Baylor,18,58440,3247,Baylor
Belmont,15,8872,591,Belmont
Bethune-Cookman,9,15078,1675,Bethune-Cookman
Boise St.,14,107202,7657,Boise St.
Boston College,15,65966,4398,Boston College
Boston U.,11,8216,747,Boston U.
Bowling Green,12,39486,3291,Bowling Green
Bradley,14,142495,10178,Bradley
Brigham Young,16,172696,10794,BYU
Brown,13,12527,964,Brown
Bucknell,12,19024,1585,Bucknell
Buffalo,13,27300,2100,Buffalo
Butler,13,59716,4594,Butler
Cal Poly,16,40086,2505,Cal Poly
Cal St. Fullerton,13,10098,777,Cal St. Fullerton
Cal St. Northridge,13,14410,1108,CSUN
Cal St. Sacramento,13,19935,1533,Sacramento St.
California,18,192730,10707,California
Campbell,14,9453,675,Campbell
Canisius,12,16718,1393,Canisius
Centenary,9,13625,1514,#N/A
Central Conn. St.,14,31490,2249,Central Conn. St.
Central Fla.,14,14431,1031,UCF
Central Mich.,14,40340,2881,Central Mich.
Charleston So.,12,12703,1059,Charleston So.
Chattanooga,14,52601,3757,Chattanooga
Chicago St.,12,11214,935,Chicago St.
Cincinnati,14,184464,13176,Cincinnati
Citadel,13,19121,1471,The Citadel
Clemson,16,132300,8269,Clemson
Cleveland St.,14,50685,3620,Cleveland St.
Coastal Caro.,11,11201,1018,Coastal Caro.
Col. of Charleston,16,54732,3421,Col. of Charleston
Colgate,12,6869,572,Colgate
Colorado,16,80147,5009,Colorado
Colorado St.,13,63437,4880,Colorado St.
Columbia,11,15761,1433,Columbia
Connecticut,16,216691,13543,UConn
Coppin St.,11,14756,1341,Coppin St.
Cornell,12,14861,1238,Cornell
Creighton,13,84424,6494,Creighton
Dartmouth,11,17688,1608,Dartmouth
Davidson,12,30301,2525,Davidson
Dayton,15,189667,12644,Dayton
Delaware,15,74830,4989,Delaware
Delaware St.,13,23570,1813,Delaware St.
Denver,14,18323,1309,Denver
DePaul,16,155732,9733,DePaul
Detroit,14,42268,3019,Detroit Mercy
Drake,14,52629,3759,Drake
Drexel,10,14539,1454,Drexel
Duke,15,139710,9314,Duke
Duquesne,13,57756,4443,Duquesne
East Caro.,13,46788,3599,East Carolina
