Team,G,Attendance,Avg,_00
A&M-Corpus Chris,18,26898,1494,#N/A
Air Force,18,31396,1744,Air Force
Akron,15,50867,3391,Akron
Alabama,17,203109,11947,Alabama
Alabama A&M,10,20007,2000,Alabama A&M
Alabama St.,11,19848,1804,Alabama St.
Albany (NY),16,42465,2654,Albany (NY)
Alcorn,13,11775,905,Alcorn
American,15,11155,743,American
Appalachian St.,14,18854,1346,Appalachian St.
Arizona,16,230560,14410,Arizona
Arizona St.,16,104011,6500,Arizona St.
Ark.-Pine Bluff,12,16505,1375,Ark.-Pine Bluff
Arkansas,18,274446,15247,Arkansas
Arkansas St.,13,43989,3383,Arkansas St.
Army West Point,17,18450,1085,Army West Point
Auburn,15,117490,7832,Auburn
Austin Peay,13,28157,2165,Austin Peay
Ball St.,16,49943,3121,Ball St.
Baylor,18,122609,6811,Baylor
Belmont,13,31501,2423,Belmont
Bethune-Cookman,13,9009,693,Bethune-Cookman
Binghamton,14,35015,2501,#N/A
Boise St.,14,75553,5396,Boise St.
Boston College,18,76371,4242,Boston College
Boston U.,17,9902,582,Boston U.
Bowling Green,17,31212,1836,Bowling Green
Bradley,15,82318,5487,Bradley
Brown,16,13206,825,Brown
Bryant,14,8504,607,#N/A
Bucknell,17,42996,2529,Bucknell
Buffalo,13,49287,3791,Buffalo
Butler,16,133724,8357,Butler
BYU,18,260569,14476,BYU
Cal Poly,12,20742,1728,Cal Poly
Cal St. Fullerton,16,14129,883,Cal St. Fullerton
California,19,169298,8910,California
Campbell,19,30605,1610,Campbell
Canisius,14,18413,1315,Canisius
Central Ark.,11,11956,1086,#N/A
Central Conn. St.,12,17098,1424,Central Conn. St.
Central Mich.,15,43336,2889,Central Mich.
Charleston So.,15,9007,600,Charleston So.
Charlotte,15,68265,4551,Charlotte
Chattanooga,14,53851,3846,Chattanooga
Chicago St.,10,10466,1046,Chicago St.
Cincinnati,18,177575,9865,Cincinnati
Clemson,17,123442,7261,Clemson
Cleveland St.,13,18195,1399,Cleveland St.
Coastal Caro.,21,32815,1562,Coastal Caro.
Col. of Charleston,16,57921,3620,Col. of Charleston
Colgate,12,9447,787,Colgate
Colorado,17,132119,7771,Colorado
Colorado St.,21,82449,3926,Colorado St.
Columbia,13,21128,1625,Columbia
Coppin St.,11,9552,868,Coppin St.
Cornell,11,13992,1272,Cornell
Creighton,17,296013,17412,Creighton
CSU Bakersfield,13,34906,2685,#N/A
CSUN,14,12789,913,CSUN
Dartmouth,12,9491,790,Dartmouth
Davidson,13,54806,4215,Davidson
Dayton,16,208291,13018,Dayton
Delaware,14,30470,2176,Delaware
Delaware St.,11,12992,1181,Delaware St.
Denver,13,21182,1629,Denver
DePaul,18,88610,4922,DePaul
Detroit Mercy,14,23924,1708,Detroit Mercy
Drake,15,42645,2843,Drake
Drexel,13,14234,1094,Drexel
Duke,16,149024,9314,Duke
Duquesne,18,21915,1217,Duquesne
East Carolina,17,68090,4005,East Carolina
Eastern Ill.,14,18587,1327,Eastern Ill.
Eastern Ky.,14,30100,2150,Eastern Ky.
Eastern Mich.,16,19935,1245,Eastern Mich.
Eastern Wash.,16,24945,1559,Eastern Wash.
Elon,14,18644,1331,Elon
ETSU,15,60809,4053,ETSU
Evansville,17,69966,4115,Evansville
Fairfield,13,21763,1674,Fairfield
Fairleigh Dickinson,11,11347,1031,Fairleigh Dickinson
FGCU,19,75598,3978,#N/A
FIU,15,13210,880,FIU
Fla. Atlantic,14,17750,1267,Fla. Atlantic
Florida,10,106905,10690,Florida
Florida A&M,13,19664,1512,Florida A&M
Florida St.,18,143302,7961,Florida St.
Fordham,17,31167,1833,Fordham
Fort Wayne,17,33337,1961,#N/A
Fresno St.,15,98790,6586,Fresno St.
Furman,14,22862,1633,Furman
Ga. Southern,13,23723,1824,Ga. Southern
Gardner-Webb,14,17686,1263,#N/A
George Mason,17,71990,4234,George Mason
George Washington,17,48061,2827,George Washington
Georgetown,17,144143,8479,Georgetown
Georgia,18,129939,7218,Georgia
Georgia St.,14,22229,1587,Georgia St.
Georgia Tech,21,126718,6034,Georgia Tech
Gonzaga,16,96000,6000,Gonzaga
