Conference,From,To,W,L,W-L,SRS,SOS,AP,NCAA,FF,NC,url,Type
American Athletic Conference,2014,2019,1025,794,0.563,6.29,3.97,10,15,1,1,/cbb/conferences/aac/,
Atlantic Coast Conference,1954,2019,11114,7078,0.611,10.78,6.7,189,238,45,14,/cbb/conferences/acc/,Power
America East Conference,1980,2019,4956,5543,0.472,-7.37,-5.4,0,39,0,0,/cbb/conferences/america-east/,
Atlantic 10 Conference,1977,2019,7790,6788,0.534,3.42,2.78,34,112,1,0,/cbb/conferences/atlantic-10/,
Atlantic Sun Conference,1979,2019,5443,5832,0.483,-7.94,-5.44,1,38,0,0,/cbb/conferences/atlantic-sun/,
Big 12 Conference,1997,2019,4959,3192,0.608,11.56,7.4,73,125,9,1,/cbb/conferences/big-12/,Power
Big East Conference,1980,2019,8808,5733,0.606,10.96,7.17,132,220,22,9,/cbb/conferences/big-east/,Power
Big Sky Conference,1964,2019,6564,6580,0.499,-4.64,-2.7,2,51,0,0,/cbb/conferences/big-sky/,
Big South Conference,1986,2019,4087,4523,0.475,-10.19,-6.73,1,27,0,0,/cbb/conferences/big-south/,
Big Ten Conference,1899,2019,16812,12049,0.583,10.21,7.55,187,260,51,10,/cbb/conferences/big-ten/,Power
Big West Conference,1970,2019,6612,6352,0.51,-0.37,0.51,22,60,3,1,/cbb/conferences/big-west/,
Colonial Athletic Association,1980,2019,5567,5511,0.503,-2.22,-1.57,1,45,2,0,/cbb/conferences/colonial/,
Conference USA,1996,2019,5108,4255,0.546,3.69,2.56,25,55,3,0,/cbb/conferences/cusa/,
Horizon League,1980,2019,5105,4900,0.51,-0.47,0.15,7,46,2,0,/cbb/conferences/horizon/,
Ivy Group,1902,2019,10059,9921,0.503,-6.33,-4.53,13,73,4,0,/cbb/conferences/ivy/,
Metro Atlantic Athletic Conference,1982,2019,5110,5347,0.489,-3.92,-3.07,1,37,0,0,/cbb/conferences/maac/,
Mid-American Conference,1947,2019,9593,9150,0.512,-1.11,-0.22,7,71,0,0,/cbb/conferences/mac/,
Mid-Eastern Athletic Conference,1972,2019,5258,7185,0.423,-14.41,-9.54,0,37,0,0,/cbb/conferences/meac/,
Missouri Valley Conference,1908,2019,12764,10707,0.544,3.72,2.99,60,103,18,4,/cbb/conferences/mvc/,
Mountain West Conference,2000,2019,3205,2385,0.573,5.35,3.47,15,47,0,0,/cbb/conferences/mwc/,
Northeast Conference,1980,2019,5418,6398,0.459,-9.67,-7.13,1,39,0,0,/cbb/conferences/northeast/,
Ohio Valley Conference,1949,2019,7978,7841,0.504,-5.3,-3.42,12,65,1,0,/cbb/conferences/ovc/,
Pacific-12 Conference,1916,2019,14778,10853,0.577,8.18,6.14,119,198,34,15,/cbb/conferences/pac-12/,Power
Patriot League,1991,2019,3178,3597,0.469,-7.9,-5.79,0,27,0,0,/cbb/conferences/patriot/,
Southeastern Conference,1933,2019,15472,11505,0.574,6.8,4.71,153,220,31,11,/cbb/conferences/sec/,Power
Southern Conference,1921,2019,14723,14110,0.511,-6.72,-4.34,26,72,3,0,/cbb/conferences/southern/,
Southland Conference,1969,2019,6235,6528,0.489,-7.61,-5.11,3,42,0,0,/cbb/conferences/southland/,
