School,Title,Title_Clean
Abilene Christian Wildcats,abilene christian,Abilene Christian
Air Force Falcons,air force,Air Force
Akron Zips,akron,Akron
Alabama A&M Bulldogs,alabama am,Alabama A&M
Alabama Crimson Tide,alabama,Alabama
Alabama State Hornets,alabama state,Alabama State
Alabama-Birmingham Blazers,alabama birmingham,Alabama-Birmingham
Albany (NY) Great Danes,albany ny,Albany (NY)
Alcorn State Braves,alcorn state,Alcorn State
Allegheny Gators,allegheny,allegheny
American Eagles,american,American
Amherst Lord Jeffs,amherst,amherst
Appalachian State Mountaineers,appalachian state,Appalachian State
Arizona State Sun Devils,arizona state,Arizona State
Arizona Wildcats,arizona,Arizona
Arkansas Razorbacks,arkansas,Arkansas
Arkansas State Red Wolves,arkansas state,Arkansas State
Arkansas-Little Rock Trojans,arkansas little rock,Arkansas-Little Rock
Arkansas-Pine Bluff Golden Lions,arkansas pine bluff,Arkansas-Pine Bluff
Armstrong Pirates,armstrong,Armstrong
Army Black Knights,army,Army
Auburn Tigers,auburn,Auburn
Augusta State Jaguars,augusta state,Augusta State
Augustana (IL) Vikings,augustana il,augustana il
Austin Peay Governors,austin peay,Austin Peay
Baker University Wildcats,baker university,baker university
Baldwin-Wallace Yellow Jackets,baldwin wallace,baldwin wallace
Ball State Cardinals,ball state,Ball State
Baltimore Super Bees,baltimore,baltimore
Baylor Bears,baylor,Baylor
Belmont Bruins,belmont,Belmont
Beloit Buccaneers,beloit,beloit
Bethune-Cookman Wildcats,bethune cookman,Bethune-Cookman
Binghamton Bearcats,binghamton,Binghamton
Birmingham-Southern Panthers,birmingham southern,Birmingham-Southern
Bloomsburg Huskies,bloomsburg,bloomsburg
Boise State Broncos,boise state,Boise State
Boston College Eagles,boston college,Boston College
Boston University Terriers,boston university,Boston University
Bowling Green State Falcons,bowling green state,Bowling Green State
Bradley Braves,bradley,Bradley
Brigham Young College ,brigham young college,brigham young college
Brigham Young Cougars,brigham young,Brigham Young
Brooklyn Bulldogs,brooklyn,Brooklyn
Brown Bears,brown,Brown
Bryant Bulldogs,bryant,Bryant
Bucknell Bison,bucknell,Bucknell
Buffalo Bulls,buffalo,Buffalo
Butler Bulldogs,butler,Butler
Cal Poly Mustangs,cal poly,Cal Poly
Cal State Bakersfield Roadrunners,cal state bakersfield,Cal State Bakersfield
Cal State Fullerton Titans,cal state fullerton,Cal State Fullerton
Cal State Los Angeles Golden Eagles,cal state los angeles,cal state los angeles
Cal State Northridge Matadors,cal state northridge,Cal State Northridge
Campbell Fighting Camels,campbell,Campbell
Canisius Golden Griffins,canisius,Canisius
Carleton College Knights,carleton college,carleton college
Carnegie Mellon Tartans,carnegie mellon,carnegie mellon
Case Western Reserve Spartans,case western reserve,Case Western Reserve
Catholic Cardinals,catholic,catholic
Centenary (LA) Gents,centenary la,Centenary (LA)
Central Arkansas Bears,central arkansas,Central Arkansas
Central Connecticut State Blue Devils,central connecticut state,Central Connecticut State
Central Florida Knights,central florida,Central Florida
Central Michigan Chippewas,central michigan,Central Michigan
Central Missouri Mules,central missouri,central missouri
Central Normal College ,central normal college,central normal college
Central Pennsylvania College Knights,central pennsylvania college,central pennsylvania college
Centre (KY) Colonels,centre ky,centre ky
Charleston Southern Buccaneers,charleston southern,Charleston Southern
Charlotte 49ers,charlotte,Charlotte
Chattanooga Mocs,chattanooga,Chattanooga
Cheyenne Business College ,cheyenne business college,cheyenne business college
Chicago Maroons,chicago,chicago
Chicago State Cougars,chicago state,Chicago State
Cincinnati Bearcats,cincinnati,Cincinnati
Citadel Bulldogs,citadel,Citadel
City College of New York Beavers,city college of new york,City College of New York
Clemson Tigers,clemson,Clemson
Cleveland State Vikings,cleveland state,Cleveland State
Coastal Carolina Chanticleers,coastal carolina,Coastal Carolina
Colgate Raiders,colgate,Colgate
College of Charleston Cougars,college of charleston,College of Charleston
College of New Jersey Lions,college of new jersey,college of new jersey
Colorado Buffaloes,colorado,Colorado
Colorado College Tigers,colorado college,colorado college
Colorado School of Mines Orediggers,colorado school of mines,colorado school of mines
Colorado State Rams,colorado state,Colorado State
Columbia Lions,columbia,Columbia
Concordia Seminary Preachers,concordia seminary,concordia seminary
Connecticut Huskies,connecticut,Connecticut
Coppin State Eagles,coppin state,Coppin State
Cornell Big Red,cornell,Cornell
Cotner University ,cotner university,cotner university
Creighton Bluejays,creighton,Creighton
Cumberland University Bulldogs,cumberland university,cumberland university
Dakota Wesleyan Tigers,dakota wesleyan,dakota wesleyan
Dartmouth Big Green,dartmouth,Dartmouth
Davidson Wildcats,davidson,Davidson
Dayton Flyers,dayton,Dayton
Delaware Fightin' Blue Hens,delaware,Delaware
Delaware State Hornets,delaware state,Delaware State
Denison Big Red,denison,denison
Denver Pioneers,denver,Denver
DePaul Blue Demons,depaul,DePaul
DePauw Tigers,depauw,depauw
Detroit Mercy Titans,detroit mercy,Detroit Mercy
Dickinson College Red Devils,dickinson college,dickinson college
Drake Bulldogs,drake,Drake
Drexel Dragons,drexel,Drexel
Duke Blue Devils,duke,Duke
Duquesne Dukes,duquesne,Duquesne
East Carolina Pirates,east carolina,East Carolina
East Central Tigers,east central,east central
East Tennessee State Buccaneers,east tennessee state,East Tennessee State
Eastern Illinois Panthers,eastern illinois,Eastern Illinois
Eastern Kentucky Colonels,eastern kentucky,Eastern Kentucky
Eastern Michigan Eagles,eastern michigan,Eastern Michigan
Eastern Washington Eagles,eastern washington,Eastern Washington
Elon Phoenix,elon,Elon
Emporia State Hornets,emporia state,emporia state
Evansville Purple Aces,evansville,Evansville
Fairfield Stags,fairfield,Fairfield
Fairleigh Dickinson Knights,fairleigh dickinson,Fairleigh Dickinson
Florida A&M Rattlers,florida am,Florida A&M
Florida Atlantic Owls,florida atlantic,Florida Atlantic
Florida Gators,florida,Florida
Florida Gulf Coast Eagles,florida gulf coast,Florida Gulf Coast
Florida International Panthers,florida international,Florida International
Florida State Seminoles,florida state,Florida State
Fordham Rams,fordham,Fordham
Franklin Grizzlies,franklin,franklin
Fresno State Bulldogs,fresno state,Fresno State
Furman Paladins,furman,Furman
Gardner-Webb Runnin' Bulldogs,gardner webb,Gardner-Webb
Geneva Golden Tornadoes,geneva,geneva
George Mason Patriots,george mason,George Mason
George Washington Colonials,george washington,George Washington
Georgetown Hoyas,georgetown,Georgetown
Georgia Bulldogs,georgia,Georgia
Georgia Southern Eagles,georgia southern,Georgia Southern
Georgia State Panthers,georgia state,Georgia State
Georgia Tech Yellow Jackets,georgia tech,Georgia Tech
Gettysburg Bullets,gettysburg,Gettysburg
Gonzaga Bulldogs,gonzaga,Gonzaga
Grambling Tigers,grambling,Grambling
Grand Canyon Antelopes,grand canyon,Grand Canyon
Green Bay Phoenix,green bay,Green Bay
Grinnell Pioneers,grinnell,grinnell
Grove City Wolverines,grove city,grove city
Hamline Pipers,hamline,hamline
Hampton Pirates,hampton,Hampton
Hardin-Simmons Cowboys,hardin simmons,Hardin-Simmons
Hartford Hawks,hartford,Hartford
Harvard Crimson,harvard,Harvard
Haskell Indian Nations Institute Fighting Indians,haskell indian nations institute,haskell indian nations institute
Hawaii Warriors,hawaii,Hawaii
High Point Panthers,high point,High Point
Hiram Terriers,hiram,hiram
Hofstra Pride,hofstra,Hofstra
Holy Cross Crusaders,holy cross,Holy Cross
Hope Flying Dutchmen,hope,hope
Houston Baptist Huskies,houston baptist,Houston Baptist
Houston Cougars,houston,Houston
Howard Bison,howard,Howard
Idaho State Bengals,idaho state,Idaho State
Idaho Vandals,idaho,Idaho
Illinois Fighting Illini,illinois,Illinois
Illinois State Redbirds,illinois state,Illinois State
Illinois Wesleyan Titans,illinois wesleyan,illinois wesleyan
Illinois-Chicago Flames,illinois chicago,Illinois-Chicago
Incarnate Word Cardinals,incarnate word,Incarnate Word
Indiana Hoosiers,indiana,Indiana
Indiana State Sycamores,indiana state,Indiana State
Iona Gaels,iona,Iona
Iowa Hawkeyes,iowa,Iowa
Iowa State Cyclones,iowa state,Iowa State
IPFW Mastodons,ipfw,IPFW
IUPUI Jaguars,iupui,IUPUI
Jackson State Tigers,jackson state,Jackson State
Jacksonville Dolphins,jacksonville,Jacksonville
Jacksonville State Gamecocks,jacksonville state,Jacksonville State
James Madison Dukes,james madison,James Madison
John Carroll Blue Streaks,john carroll,john carroll
Kalamazoo Hornets,kalamazoo,kalamazoo
Kansas Jayhawks,kansas,Kansas
Kansas State Wildcats,kansas state,Kansas State
Kennesaw State Owls,kennesaw state,Kennesaw State
Kent State Golden Flashes,kent state,Kent State
Kentucky Wesleyan Panthers,kentucky wesleyan,kentucky wesleyan
