Rk,School,"City, State"
1,Abilene Christian Wildcats,"Abilene, Texas"
2,Air Force Falcons,"USAF Academy, Colorado"
3,Akron Zips,"Akron, Ohio"
4,Alabama A&M Bulldogs,"Normal, Alabama"
5,Alabama Crimson Tide,"Tuscaloosa, Alabama"
6,Alabama State Hornets,"Montgomery, Alabama"
7,Alabama-Birmingham Blazers,"Birmingham, Alabama"
8,Albany (NY) Great Danes,"Albany, New York"
9,Alcorn State Braves,"Alcorn State, Mississippi"
10,Allegheny Gators,"Meadville, Pennsylvania"
11,American Eagles,"Washington, D.C."
12,Amherst Lord Jeffs,"Amherst, Massachusetts"
13,Appalachian State Mountaineers,"Boone, North Carolina"
14,Arizona State Sun Devils,"Tempe, Arizona"
15,Arizona Wildcats,"Tucson, Arizona"
16,Arkansas Razorbacks,"Fayetteville, Arkansas"
17,Arkansas State Red Wolves,"State University, Arkansas"
18,Arkansas-Little Rock Trojans,"Little Rock, Arkansas"
19,Arkansas-Pine Bluff Golden Lions,"Pine Bluff, Arkansas"
20,Armstrong Pirates,"Savannah, Georgia"
21,Army Black Knights,"West Point, New York"
22,Auburn Tigers,"Auburn, Alabama"
23,Augusta State Jaguars,"Augusta, Georgia"
24,Augustana (IL) Vikings,"Rock Island, Illinois"
25,Austin Peay Governors,"Clarksville, Tennessee"
26,Baker University Wildcats,"Baldwin City, Kansas"
27,Baldwin-Wallace Yellow Jackets,"Berea, Ohio"
28,Ball State Cardinals,"Muncie, Indiana"
29,Baltimore Super Bees,"Baltimore, Maryland"
30,Baylor Bears,"Waco, Texas"
31,Belmont Bruins,"Nashville, Tennessee"
32,Beloit Buccaneers,"Beloit, Wisconsin"
33,Bethune-Cookman Wildcats,"Daytona Beach, Florida"
34,Binghamton Bearcats,"Binghamton, New York"
35,Birmingham-Southern Panthers,"Birmingham, Alabama"
36,Bloomsburg Huskies,"Bloomsburg, Pennsylvania"
37,Boise State Broncos,"Boise, Idaho"
38,Boston College Eagles,"Chestnut Hill, Massachusetts"
39,Boston University Terriers,"Boston, Massachusetts"
40,Bowling Green State Falcons,"Bowling Green, Ohio"
41,Bradley Braves,"Peoria, Illinois"
42,Brigham Young College,"Logan, Utah"
43,Brigham Young Cougars,"Provo, Utah"
44,Brooklyn Bulldogs,"Brooklyn, New York"
45,Brown Bears,"Providence, Rhode Island"
46,Bryant Bulldogs,"Smithfield, Rhode Island"
47,Bucknell Bison,"Lewisburg, Pennsylvania"
48,Buffalo Bulls,"Buffalo, New York"
49,Butler Bulldogs,"Indianapolis, Indiana"
50,Cal Poly Mustangs,"San Luis Obispo, California"
51,Cal State Bakersfield Roadrunners,"Bakersfield, California"
52,Cal State Fullerton Titans,"Fullerton, California"
53,Cal State Los Angeles Golden Eagles,"Los Angeles, California"
54,Cal State Northridge Matadors,"Northridge, California"
55,Campbell Fighting Camels,"Buies Creek, North Carolina"
56,Canisius Golden Griffins,"Buffalo, New York"
57,Carleton College Knights,"Northfield, Minnesota"
58,Carnegie Mellon Tartans,"Pittsburgh, Pennsylvania"
59,Case Western Reserve Spartans,"Cleveland, Ohio"
60,Catholic Cardinals,"Washington, D.C."
61,Centenary (LA) Gents,"Shreveport, Louisiana"
62,Central Arkansas Bears,"Conway, Arkansas"
63,Central Connecticut State Blue Devils,"New Britain, Connecticut"
64,Central Florida Knights,"Orlando, Florida"
65,Central Michigan Chippewas,"Mount Pleasant, Michigan"
66,Central Missouri Mules,"Warrensburg, Missouri"
67,Central Normal College,"Danville, Indiana"
68,Central Pennsylvania College Knights,"Summerdale, Pennsylvania"
69,Centre (KY) Colonels,"Danville, Kentucky"
70,Charleston Southern Buccaneers,"Charleston, South Carolina"
71,Charlotte 49ers,"Charlotte, North Carolina"
72,Chattanooga Mocs,"Chattanooga, Tennessee"
73,Cheyenne Business College,"Cheyenne, Wyoming"
74,Chicago Maroons,"Chicago, Illinois"
75,Chicago State Cougars,"Chicago, Illinois"
76,Cincinnati Bearcats,"Cincinnati, Ohio"
77,Citadel Bulldogs,"Charleston, South Carolina"
78,City College of New York Beavers,"New York, New York"
79,Clemson Tigers,"Clemson, South Carolina"
80,Cleveland State Vikings,"Cleveland, Ohio"
81,Coastal Carolina Chanticleers,"Conway, South Carolina"
82,Colgate Raiders,"Hamilton, New York"
83,College of Charleston Cougars,"Charleston, South Carolina"
84,College of New Jersey Lions,"Ewing, New Jersey"
85,Colorado Buffaloes,"Boulder, Colorado"
86,Colorado College Tigers,"Colorado Springs, Colorado"
87,Colorado School of Mines Orediggers,"Golden, Colorado"
88,Colorado State Rams,"Fort Collins, Colorado"
89,Columbia Lions,"New York, New York"
90,Concordia Seminary Preachers,"St. Louis, Missouri"
91,Connecticut Huskies,"Storrs, Connecticut"
92,Coppin State Eagles,"Baltimore, Maryland"
93,Cornell Big Red,"Ithaca, New York"
94,Cotner University,"Lincoln, Nebraska"
95,Creighton Bluejays,"Omaha, Nebraska"
96,Cumberland University Bulldogs,"Lebanon, Tennessee"
97,Dakota Wesleyan Tigers,"Mitchell, South Dakota"
98,Dartmouth Big Green,"Hanover, New Hampshire"
99,Davidson Wildcats,"Davidson, North Carolina"
100,Dayton Flyers,"Dayton, Ohio"
101,Delaware Fightin' Blue Hens,"Newark, Delaware"
102,Delaware State Hornets,"Dover, Delaware"
103,Denison Big Red,"Granville, Ohio"
104,Denver Pioneers,"Denver, Colorado"
105,DePaul Blue Demons,"Chicago, Illinois"
106,DePauw Tigers,"Greencastle, Indiana"
107,Detroit Mercy Titans,"Detroit, Michigan"
108,Dickinson College Red Devils,"Carlisle, Pennsylvania"
